Complexity,Loss,Equation
1,2.438188,"1.8760699"
5,2.4343228,"tan(tanh(x1) - -0.07049028)"
6,2.1986778,"(x1 / x0) + abs(0.9051527)"
7,2.1064734,"sqrt(sqrt(x1) * 0.3348977) + 0.03601275"
8,1.8196304,"abs(abs(x1 / abs(x0 * -0.3616008)))"
9,1.5811257,"abs(abs(x1 / (x0 * -0.3616008)) + 0.42295504)"
10,1.5585431,"abs(abs(x1 / abs(x0 * -0.31047612)) + 0.26603094)"
11,1.4021848,"((((x1 + x1) / x0) + 0.78111815) ^ 2.227978) / 2.3063254"
12,1.352233,"abs((((x1 + 0.18947127) / x0) + 0.86586857) ^ 3.5554783) / 2.0734086"
